Produto,Unidades vendidas,Visualizações,CVR
Poncho Premium Infantil,17,307,0.05537459283387622
PONCHO CLASSICO TODAS AS CORES,10,166,0.060240963855421686
PONCHO RESORT PREMIUM FEMININO,8,201,0.03980099502487562
MAIO STORM,8,540,0.014814814814814815
Poncho Premium Adulto M/G,7,127,0.05511811023622047
MAIO MOANA,7,145,0.04827586206896552
MAIO RINCON,7,1168,0.0059931506849315065
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Adulto,5,160,0.03125
Poncho Clássico Infantil (XPP e PP),5,145,0.034482758620689655
Poncho Premium Adulto P,3,166,0.018072289156626505
Poncho Premium Adulto Areia MG,3,47,0.06382978723404255
MAIO LISO GOLA ALTA MANGA LONGA E ZIPER,2,172,0.011627906976744186
MAIO MACAQUINHO PARATY SURF NATACAO,2,522,0.0038314176245210726
PONCHO RESORT PREMIUM INFANTIL,2,116,0.017241379310344827
MAIO GAROA,1,118,0.00847457627118644
MAIO LYCRA JOHN,1,76,0.013157894736842105
Camiseta Lycra Surf UV50 Manga Longa Preto com Verde,1,7,0.14285714285714285
PONCHO SUPREME (Algodão),1,46,0.021739130434782608
CAMISETA PIPELINE,1,33,0.030303030303030304
Saída de Praia Vestido Regata Alça Cruzada com Transparencia,1,7,0.14285714285714285
Camiseta Lycra Surf UV50 Manga Longa Verde com Preto,1,15,0.06666666666666667
CALÇA FLARE,1,18,0.05555555555555555
Poncho Clássico Adulto (P e M),1,43,0.023255813953488372
Camiseta Lycra Surf UV50 Manga Longa Azul com Preto,1,6,0.16666666666666666
MAIO BELLS LISO MANGA LONGA E ZIPER,1,88,0.011363636363636364
Maiô Manga Longa Bicolor Zíper UV50 Blackout Premium,1,52,0.019230769230769232
MACACÃO,0,23,0.0
CAMISETA LYCRA FEMININA ITAMAMBUCA,0,17,0.0
Camiseta Lycra Surf Feminina UV50 Segunda Pele Surfnelas,0,18,0.0
Camisa Feminina Gola V Lycra UV50 Manga Longa Praia Protecao,0,7,0.0
Maiô Body Surf Sem Manga Alça Cruzada Proteção Solar UV50,0,75,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Liso Branco,0,19,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Vaca,0,5,0.0
Poncho Premium Adulto Areia P,0,61,0.0
Camiseta Lycra Surf Feminina UV50 Segunda Pele Vaca,0,10,0.0
Camiseta Lycra Surf UV50 Manga Longa Rosa com Preto,0,7,0.0
Biquini Sunkini Hot Pant Top Faixa Futevôlei Piscina Surf,0,13,0.0
Saida de Praia Vestido Manga Longa Midi Folhagem Marrom,0,12,0.0
BERMUDA NEOPRENE JOAQUINA,0,26,0.0
