Produto,Variante,Unidades vendidas,Estoque atual,Dias restantes de estoque,Receita
Poncho Premium Infantil,Azul / 6 anos - 12 anos,13,0,0.0,1678.03
Poncho Premium Adulto M/G,Preto / Único,4,60,120.0,697.82
Poncho Premium Adulto Areia MG,Areia / M,3,79,211.0,496.47
MAIO MOANA,Marrom / G,3,12,32.0,740.97
Poncho Premium Adulto M/G,Azul / Único,3,74,197.0,465.57
Poncho Clássico Infantil (XPP e PP),Preto / XPP,3,11,29.0,373.67
PONCHO RESORT PREMIUM FEMININO,Rosa / Unico,3,46,123.0,620.14
PONCHO RESORT PREMIUM FEMININO,Branco / Unico,3,55,147.0,661.27
MAIO RINCON,PRETO / GG,2,3,12.0,426.38
PONCHO CLASSICO TODAS AS CORES,ROYAL / M,2,7,28.0,247.67
MAIO RINCON,PRETO / G,2,8,32.0,417.98
MAIO LISO GOLA ALTA MANGA LONGA E ZIPER,Preto / G,2,0,0.0,433.38
MAIO MOANA,Marrom / M,2,12,48.0,493.98
MAIO STORM,Vermelho / P,2,0,0.0,479.98
MAIO STORM,Marinho / P,2,0,0.0,472.78
PONCHO RESORT PREMIUM FEMININO,Azul Marinho / Unico,2,49,196.0,394.97
Poncho Premium Adulto P,Azul / 34 - 40,2,56,224.0,328.12
Poncho Premium Infantil,Rosa / 6 anos - 12 anos,2,9,36.0,273.22
MAIO MACAQUINHO PARATY SURF NATACAO,Preto / M,1,4,32.0,227.99
PONCHO CLASSICO TODAS AS CORES,ROSA / XPP,1,5,40.0,92.30
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Adulto,Azul Royal / P,1,18,144.0,139.99
MAIO STORM,Marinho / G,1,3,24.0,232.79
PONCHO CLASSICO TODAS AS CORES,ROSA / P,1,8,64.0,107.68
Camiseta Lycra Surf UV50 Manga Longa Verde com Preto,P,1,10,80.0,152.32
CAMISETA PIPELINE,BRANCO / M,1,17,136.0,198.11
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Adulto,Rosa / P,1,8,64.0,139.99
CALÇA FLARE,Preto / P,1,1,8.0,126.09
PONCHO CLASSICO TODAS AS CORES,GRAFITE / P,1,57,456.0,143.98
PONCHO CLASSICO TODAS AS CORES,VINHO / M,1,14,112.0,144.24
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Adulto,Grafite / M,1,0,0.0,135.79
PONCHO RESORT PREMIUM INFANTIL,Rosa / 6,1,5,40.0,151.99
MAIO LYCRA JOHN,Preto / G,1,3,24.0,276.44
PONCHO CLASSICO TODAS AS CORES,ROYAL / P,1,18,144.0,144.24
MAIO BELLS LISO MANGA LONGA E ZIPER,Branco / P,1,5,40.0,237.49
PONCHO CLASSICO TODAS AS CORES,VERDE ESCURO / PP,1,1,8.0,121.24
Saída de Praia Vestido Regata Alça Cruzada com Transparencia,Floral Color / G,1,4,32.0,79.74
Poncho Clássico Infantil (XPP e PP),Roxo / PP,1,3,24.0,121.24
Poncho Premium Adulto P,Rosa / 34 - 40,1,8,64.0,159.99
MAIO MOANA,Marrom / P,1,6,48.0,246.99
MAIO MOANA,Verde Escuro / GG,1,6,48.0,252.19
Poncho Premium Infantil,Preto / 6 anos - 12 anos,1,38,304.0,129.99
Poncho Clássico Infantil (XPP e PP),Preto / PP,1,2,16.0,121.24
MAIO GAROA,ROSA / M,1,9,72.0,239.99
MAIO MACAQUINHO PARATY SURF NATACAO,Azul Claro / GG,1,7,56.0,239.99
Poncho Clássico Adulto (P e M),Preto / P,1,74,592.0,139.99
Camiseta Lycra Surf UV50 Manga Longa Preto com Verde,M,1,0,0.0,139.99
PONCHO CLASSICO TODAS AS CORES,PRETO / M,1,34,272.0,135.79
Poncho Premium Infantil,Bege / 6 anos - 12 anos,1,22,176.0,129.99
Maiô Manga Longa Bicolor Zíper UV50 Blackout Premium,Rosa / G,1,7,56.0,212.70
PONCHO RESORT PREMIUM INFANTIL,Rosa / 12,1,0,0.0,173.09
Camiseta Lycra Surf UV50 Manga Longa Azul com Preto,M,1,10,80.0,129.00
PONCHO CLASSICO TODAS AS CORES,ROYAL / XPP,1,26,208.0,92.30
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Adulto,Rosa / M,1,62,496.0,151.13
PONCHO SUPREME (Algodão),Azul Militar / P,1,2,16.0,264.99
MAIO RINCON,ROSA / P,1,5,40.0,208.99
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Adulto,Vinho / M,1,14,112.0,135.79
MAIO STORM,Vermelho / GG,1,9,72.0,229.99
MAIO RINCON,PRETO / M,1,7,56.0,219.99
MAIO STORM,Vermelho / M,1,3,24.0,223.09
MAIO STORM,Marinho / M,1,1,8.0,239.99
MAIO RINCON,ROSA / M,1,9,72.0,208.99
