Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,bermuda com bolso surf,,,,,,,,,,,,,,,,
br,bermuda com cordão,,,,,,30,0,0.00,1.00,,,,"0.05,0.05,0.02,0.05,0.05,0.05,0.05,0.35,0.05,0.05,0.05,0.05",,,
br,bermuda de banho masculina,,,,,,590,23,0.19,1.00,444000,"Informational, Commercial","Image Pack, Site Links, Video, Image, Related Searches","0.10,0.08,0.10,0.10,0.16,0.20,0.36,0.79,0.30,0.20,0.10,0.13",20,,
br,bermuda de neoprene,,,,,,90,7,0.09,1.00,189,Commercial,"Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links, Popular Products, Short Videos","0.42,0.33,0.33,0.42,0.42,0.42,0.33,0.42,0.52,0.42,0.42,0.42",20,,
br,bermuda de praia masculina,,,,,,1600,25,0.19,1.00,3220000,Commercial,"Image Pack, Site Links, Video, Image, Video Carousel, Popular Products, Related Searches","0.10,0.08,0.15,0.19,0.19,0.24,0.43,0.54,0.43,0.19,0.15,0.15",20,,
br,bermuda de surf,,,,,,480,9,0.14,1.00,190,Commercial,"Image Pack, Site Links, Video, Related Searches, Short Videos","0.11,0.13,0.13,0.13,0.11,0.11,0.30,0.34,0.30,0.13,0.16,0.13",20,,
br,bermuda de surf infantil,,,,,,20,0,0.10,1.00,,,,"0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",,,
br,bermuda de surf masculina,,,,,,170,8,0.14,1.00,176,Commercial,"Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.10,0.06,0.06,0.08,0.10,0.16,0.20,0.36,0.30,0.20,0.20,0.20",20,,
br,bermuda de surf preço,,,,,,,,,,,,,,,,
br,bermuda de surf secagem rápida,,,,,,,,,,,,,,,,
br,bermuda de surf sem costura,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,bermuda de surf tamanho,,,,,,,,,,,,,,,,
br,bermuda elastano surf,,,,,,140,21,0.10,1.00,225,Commercial,"Short Videos, Image Pack, Site Links, Video, Popular Products, Related Searches","0.35,0.28,0.17,0.35,0.28,0.43,0.53,0.53,0.35,0.28,0.23,0.23",20,,
br,bermuda neoprene surf,,,,,,20,0,0.14,1.00,,,,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,,
br,bermuda para natação,,,,,,880,13,0.08,1.00,2180000,Commercial,"Video, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.37,0.31,0.31,0.68,0.37,0.52,0.46,0.37,0.68,0.52,0.52,0.46",20,,
br,bermuda para stand up paddle,,,,,,,,,,,,,,,,
br,bermuda para surfar,,,,,,50,0,0.12,1.00,,,,"0.09,0.18,1.00,1.00,0.81,0.45,0.45,0.45,0.36,0.36,0.36,0.36",,,
br,bermuda tactel praia,,,,,,110,19,0.11,0.98,237,"Informational, Commercial","Image Pack, Site Links, Video, Image, Popular Products, Related Searches, Short Videos","0.14,0.14,0.14,0.18,0.22,0.22,0.43,0.35,0.29,0.18,0.14,0.14",20,,
br,biquini asa delta,,,,,,2900,14,0.24,1.00,200,"Informational, Commercial","Related Searches, Image Pack, Site Links, Video, Image, People Also Ask, Popular Products","0.16,0.13,0.24,0.24,0.24,0.29,0.66,0.81,0.54,0.24,0.16,0.19",20,,
br,biquini com bojo,,,,,,880,12,0.12,1.00,230,"Informational, Commercial","Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos","0.03,0.03,0.05,0.05,0.10,0.10,0.13,0.19,0.16,0.05,0.04,0.04",20,,
br,biquini com proteção uv,,,,,,70,0,0.13,1.00,,,,"0.06,0.03,0.06,0.08,0.06,0.23,0.28,0.11,0.23,0.11,0.06,0.08",,,
br,biquini cortininha,,,,,,6600,19,0.20,1.00,197,Commercial,"Image Pack, Site Links, Reviews, Video, People Also Ask, Popular Products, Related Searches","0.19,0.19,0.29,0.29,0.44,0.44,0.66,1.00,0.81,0.44,0.29,0.29",20,,
br,biquini de amarrar,,,,,,260,9,0.11,0.99,220,Informational,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Short Videos","0.07,0.07,0.08,0.10,0.13,0.16,0.24,0.05,0.20,0.13,0.08,0.08",20,,
br,biquini de crochê,,,,,,1900,32,0.12,0.97,169,Commercial,"Site Links, Image, People Also Ask, Popular Products, Related Searches, Image Pack, Video, Video Carousel, Short Videos","0.53,0.13,0.24,1.00,0.13,0.35,0.18,0.24,0.29,0.18,0.18,0.18",20,,
br,biquini de lycra,,,,,,70,0,0.09,0.94,,,,"0.10,0.08,0.10,0.14,0.04,0.18,0.29,0.29,0.29,0.14,0.10,0.02",,,
br,biquini de surf,,,,,,90,7,0.22,1.00,203,Commercial,"Image Pack, Site Links, Video, Image, Video Carousel, Popular Products, Related Searches","0.14,0.02,0.14,0.14,0.22,0.22,0.29,0.35,0.29,0.14,0.14,0.06",20,,
br,biquini esportivo,,,,,,110,7,0.17,1.00,186,Commercial,"Popular Products, Image Pack, Site Links, Video","0.28,0.23,0.17,0.35,0.23,0.28,0.35,0.43,0.53,0.43,0.43,0.35",20,,
br,biquini esportivo feminino,,,,,,50,0,0.15,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.28,0.78,1.00,0.78,0.14,0.14,0.35",,,
br,biquini estampado,,,,,,320,12,0.17,1.00,216,"Informational, Commercial","Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches","0.07,0.07,0.13,0.13,0.13,0.13,0.25,0.37,0.31,0.13,0.13,0.13",20,,
br,biquini fio dental,,,,,,6600,14,0.14,0.99,198,"Informational, Transactional","Video, People Also Ask, Popular Products, Short Videos, Image Pack, Site Links","0.24,0.13,0.16,0.19,0.29,0.36,0.29,0.44,0.36,0.29,0.29,0.44",20,,
br,biquini fitness,,,,,,40,0,0.14,0.04,,,,"0.35,0.21,0.35,0.14,0.35,0.50,0.50,0.50,0.21,0.07,0.14,0.07",,,
br,biquini frente única,,,,,,10,0,0.25,1.00,,,,"0.00,0.00,0.03,0.03,0.07,0.11,0.07,0.19,0.11,0.00,0.00,0.00",,,
br,biquini hot pants,,,,,,1300,15,0.16,1.00,1380000,Commercial,"Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video","0.01,0.01,0.02,0.02,0.02,0.04,0.05,0.04,0.04,0.01,0.01,0.01",20,,
br,biquini infantil,,,,,,6600,15,0.13,0.99,184,Commercial,"Related Searches, Short Videos, Image Pack, Site Links, Video, Popular Products","0.08,0.07,0.08,0.10,0.16,0.20,0.24,0.29,0.24,0.20,0.13,0.13",20,,
br,biquini juvenil,,,,,,1600,16,0.12,1.00,790000,"Informational, Commercial","Image Pack, Site Links, Video, Image, Related Searches, Short Videos","0.10,0.10,0.13,0.08,0.15,0.19,0.23,0.23,0.15,0.13,0.10,0.10",20,,
br,biquini para esportes aquáticos,,,,,,,,,,,,,,,,
br,biquini para nadar,,,,,,20,0,0.15,0.99,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,,
br,biquini para praia esportivo,,,,,,,,,,,,,,,,
br,biquini para stand up paddle,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,biquini para surf infantil,,,,,,,,,,,,,,,,
br,biquini para surfar,,,,,,0,0,0.14,1.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00",,,
br,biquini para vôlei de praia,,,,,,,,,,,,,,,,
br,biquini preto,,,,,,5400,20,0.23,1.00,205,Commercial,"Video, Image, Popular Products, Related Searches, Image Pack, Site Links","0.13,0.16,0.19,0.16,0.16,0.19,0.29,0.29,0.29,0.16,0.16,0.13",20,,
br,biquini que não sai,,,,,,,,,,,,,,,,
br,biquini que não sai no mar,,,,,,,,,,,,,,,,
