produto,id_baselinker,preco,estoque,peso_kg,ncm,url_tabela_medidas,foto_1,descricao_limpa,chars,lixo_chatgpt,unidades_semana,views_semana
PONCHO RESORT PREMIUM FEMININO,100290009,249.00,149,0.48,5802.20.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/,https://upload.cdn.baselinker.com/products/8042077/894b29f094de14a702e6f638a0740f71.jpg,"Poncho Resort Atoalhado Multicolorido – Praticidade e Conforto para Atividades Aquáticas O poncho atoalhado perfeito para quem busca praticidade, conforto e estilo antes e depois da prática de esportes aquáticos! Disponível em diversas cores este poncho foi pensado para atender adultos e adolescentes, oferecendo um modelo único e versátil para todas as idades. Feito de material atoalhado leve, ele é ideal para quem gosta de estar sempre seco após o surfe, natação, kitesurf ou qualquer outra atividade na água. Além disso, o design amplo e prático, oferece total liberdade de movimento, enquanto o toque suave e absorvente do tecido mantém sua pele confortável e sequinha. Seja para a praia, piscina ou para treinos, este poncho é a escolha ideal para quem procura um acessório funcional e estiloso. Destaques do Produto: - Decote V longo, com acabemento elegante trazendo ar de requinte ao poncho - Material atoalhado leve e com absorção, perfeito para manter-se seco após atividades aquáticas. - Tamanho únicos que atende o público adulto e juvenil. - Design amplo e confortável, proporcionando liberdade de movimento. - Disponível em diversas cores, ideais para quem busca estilo e funcionalidade. Dados Técnicos do Produto: Poncho Atoalhado Multicolorido Acabamento: Costura nas barras, decote, capô, boca do bolso laterais e bolso canguru para um toque de estilo. Design: Laterais das barras com fendas de 12 cm, proporcionando um visual moderno e maior conforto. Bolsos Frontal Canguru: Ideal para guardar pequenos itens. Detalhe nas Barras Cavas: Barra cavas de 1,5 cm, garantindo um ajuste confortável. Composição: 84% Viscose e 16% Poliéster, um tecido leve e absorvente, perfeito para atividades aquáticas. Tabela de Medidas: Poncho Tamanho Unico Largura 65 Comprimento 93 *medidas da frente do produto * PERGUNTAS FREQUENTES: 1- Tem os produtos a pronta entrega? Em quanto tempo o produto será enviado? Resposta: Sim, temos todas as peças a pronta entrega para envio imediato. Após pagamento aprovado, seu pedido será postado em até 24 horas úteis 2- São Fotos reais do produto? Resposta: Sim, as fotos sao reais, com um toque de IA para harmonizar com o ambiente. 3. O produto é original? Sim, todos os produtos são originais. 4. Caso o produto não supra minha necessidade posso devolver ou trocar? Sim, aqui tem o programa de satisfação garantida caso não goste pode realizar a devolução e refazer o pedido do produto correto, desde que ele não tenha indícios de uso e esteja na embalagem original 5. Acompanha nota fiscal? Sim, todos os nossos produtos são enviados com nota fiscal. 6. O produto tem garantia? Sim, todos os produtos têm garantia de 7 dias pelo fabricante contra defeito de fabricação. Aposte na combinação de conforto, praticidade e estilo com o nosso Poncho Resort Atoalhado e esteja sempre preparado para o próximo mergulho ou treino. Não perca a oportunidade de ter um produto que vai facilitar a sua rotina aquática e ainda adicionar um toque de cor e modernidade ao seu look! Adquira o seu agora e tenha praticidade e estilo nas suas aventuras aquáticas!",3094,sim,8,201
MAIO STORM,100890722,299.00,25,0.23,6112.41.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/618c4b95847fbd9e4c2eedca241a7285.png,https://upload.cdn.baselinker.com/products/8042077/218b4e793260e7a40252a0996d672ccc.png,"O Maiô Feminino Storm foi desenvolvido para mulheres que buscam desempenho, conforto e proteção durante a prática de esportes aquáticos e atividades ao ar livre. Com design esportivo inspirado no universo do surf, possui modelagem anatômica que acompanha os movimentos do corpo, proporcionando excelente ajuste e liberdade de movimento dentro e fora da água. O modelo conta com mangas longas, gola alta, abertura para o dedo nos punhos e fechamento frontal por zíper YKK®, oferecendo praticidade, proteção e conforto durante longos períodos de uso. Confeccionado em tecido premium de alta performance com proteção UV50+, secagem rápida e resistência ao cloro e à água salgada, o Maiô Storm é a escolha ideal para quem busca funcionalidade, durabilidade e estilo em uma única peça. Modelo: Storm Categoria: Maiô Feminino Manga Longa Modelagem: Anatômica e ajustada ao corpo Gola: Alta anatômica Mangas: Longas Fechamento: Zíper frontal YKK® Cava traseira: Intermediária Bojo: Não possui Abertura para dedo: Sim Proteção Solar: UV50+ Composição do Forro: Origem: Fabricado no Brasil Garantia: 30 dias contra defeitos de fabricação. O produto deve estar sem uso e sem lavagem. Ideal para: ✔ Surf ✔ Bodyboard ✔ Stand Up Paddle ✔ Natação ✔ Hidroginástica ✔ Beach Tennis ✔ Passeios de barco ✔ Piscina ✔ Praia ✔ Viagens ✔ Atividades ao ar livre ✔ Exposição prolongada ao sol ✔ Treinos e práticas esportivas aquáticas ✓ Proteção UV50+ ✓ Tecido leve e confortável ✓ Zíper frontal YKK® ✓ Totalmente forrado na frente e costas ✓ Abertura para dedo nas mangas ✓ Excelente mobilidade durante a prática esportiva ✓ Secagem rápida ✓ Resistente ao cloro e à água salgada ✓ Desenvolvido especialmente para surf e esportes aquáticos ✓ Produção nacional ✓ Acabamento premium ✓ Modelagem anatômica que valoriza o corpo sem limitar os movimentos Tamanho Busto Cintura Quadril Comprimento Manga Comprimento Corpo P 36 30 33 72 68,5 M 38 32 34 73 70 G 40 34 35 74 71,5 GG 42 36 36 75 73 Observação: As medidas foram realizadas na peça sem esticar. Por se tratar de um tecido com elastano, podem ocorrer pequenas variações durante a produção e o uso.",2126,nao,8,540
MAIO MOANA,102811839,299.00,111,0.3,6112.41.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/55d8201115653a61129ffdc9b71876ea.jpg,https://upload.cdn.baselinker.com/products/8042077/b938ca1e6c460052c7ae364324a3b815.jpg,"O Maiô Body Feminino Manga Longa com Zíper da USEZEROHORA foi desenvolvido para quem busca desempenho, conforto e segurança em atividades aquáticas. Com modelagem ajustada ao corpo, proporciona excelente vestibilidade e liberdade de movimento, sendo ideal para surf, bodyboard, natação, hidroginástica, stand up paddle e outras práticas com exposição ao sol. Confeccionado em tecido tecnológico com composição de 83% poliamida e 17% elastano, oferece toque agradável, elasticidade, respirabilidade e secagem rápida. Sua proteção solar UV50+ ajuda a bloquear até 98% dos raios UVA e UVB, contribuindo para maior proteção durante o uso. O modelo conta com mangas longas com dedal embutido, punhos duplos reforçados e zíper frontal, garantindo praticidade ao vestir e mais firmeza na utilização. Na cor lisa preta, o maiô apresenta visual moderno e versátil, com acabamento pensado para unir funcionalidade e estilo. Possui forro interno em tecido blackout grosso, oferecendo maior segurança e zero transparência. É uma peça resistente, confortável e indicada para quem procura um traje de banho com alto padrão técnico para treinos, lazer ou esportes na água. Produto: Maiô Body Feminino Manga Longa com Zíper Modelo: Maio Protecao Praia Piscina Tipo de traje de banho: Maio Body Surf Gênero: Feminino Marca: USEZEROHORA Composição do tecido: 83% Poliamida e 17% Elastano Proteção solar: UV50+ permanente no tecido Tamanhos disponíveis: P, M, G e GG NCM: 6112.41.00 A embalagem contém 1 maiô body feminino com proteção UV50+.",1523,nao,7,145
MAIO RINCON,100890708,299.00,87,0.17,6112.41.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/,https://upload.cdn.baselinker.com/products/8042077/95df7101fce14836653fb3af661f385b.jpg,"O Maiô Feminino Rincon foi desenvolvido para mulheres que valorizam conforto, proteção e liberdade de movimento em todas as atividades dentro e fora da água. Com visual minimalista e modelagem esportiva sofisticada, o modelo possui gola alta, cava anatômica e fechamento por zíper nas costas, proporcionando ajuste confortável ao corpo e excelente mobilidade durante a prática esportiva. Produzido em tecido premium de alta gramatura, o Rincon oferece proteção UV50+, secagem rápida e resistência ao cloro e à água salgada, tornando-se uma excelente escolha para surf, natação, beach tennis, stand up paddle e momentos de lazer ao ar livre. Seu design versátil combina desempenho e elegância, permitindo que a peça transite facilmente entre atividades esportivas e o lifestyle praiano. Modelo: Rincon Categoria: Maiô Feminino Regata Modelagem: Anatômica e ajustada ao corpo Gola: Alta Mangas: Sem mangas Fechamento: Zíper traseiro YKK® Cava traseira: Intermediária Bojo: Não possui Proteção solar: UV50+ Tecnologias: Tecido Principal: Forro Interno: Toque do tecido: Macio, confortável e de alta elasticidade Origem: Fabricado no Brasil Garantia: 30 dias contra defeitos de fabricação. Produto deve estar sem uso e sem lavagem. Ideal para: ✔ Surf ✔ Bodyboard ✔ Stand Up Paddle ✔ Natação ✔ Hidroginástica ✔ Beach Tennis ✔ Passeios de barco ✔ Piscina ✔ Praia ✔ Viagens ✔ Atividades ao ar livre ✔ Exposição prolongada ao sol com maior proteção ✔ Uso esportivo e casual ✓ Proteção UV50+ ✓ Tecido premium de alta gramatura ✓ Zíper traseiro YKK® ✓ Totalmente forrado na frente e costas ✓ Excelente conforto e liberdade de movimento ✓ Modelagem esportiva sofisticada ✓ Resistente ao cloro e à água salgada ✓ Secagem rápida ✓ Desenvolvido para surf e esportes aquáticos ✓ Produção nacional ✓ Acabamento de alta qualidade ✓ Visual minimalista e versátil Tamanho Busto Cintura Quadril Comprimento P 33,5 29 32 70 M 35,5 31 34 72 G 37,5 33 36 74 GG 39,5 35 38 76 Importante: As medidas foram realizadas na peça sem esticar. Por se tratar de um tecido com elastano, podem ocorrer pequenas variações durante o processo de confecção e durante o uso.",2135,nao,7,1168
PONCHO RESORT PREMIUM INFANTIL,100290013,249.00,38,0.264,5802.20.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/,https://upload.cdn.baselinker.com/products/8042077/8a90d1e321d80286b7f05d753ac802cf.jpg,"Poncho Resort Atoalhado Multicolorido – Praticidade e Conforto para Atividades Aquáticas O poncho atoalhado perfeito para quem busca praticidade, conforto e estilo antes e depois da prática de esportes aquáticos! Disponível em diversas cores este poncho foi pensado para atender adultos e adolescentes, oferecendo um modelo único e versátil para todas as idades. Feito de material atoalhado leve, ele é ideal para quem gosta de estar sempre seco após o surfe, natação, kitesurf ou qualquer outra atividade na água. Além disso, o design amplo e prático, oferece total liberdade de movimento, enquanto o toque suave e absorvente do tecido mantém sua pele confortável e sequinha. Seja para a praia, piscina ou para treinos, este poncho é a escolha ideal para quem procura um acessório funcional e estiloso. Destaques do Produto: - Decote V longo, com acabemento elegante trazendo ar de requinte ao poncho - Material atoalhado leve e com absorção, perfeito para manter-se seco após atividades aquáticas. - Tamanho únicos que atende o público adulto e juvenil. - Design amplo e confortável, proporcionando liberdade de movimento. - Disponível em diversas cores, ideais para quem busca estilo e funcionalidade. Dados Técnicos do Produto: Poncho Atoalhado Multicolorido Acabamento: Costura nas barras, decote, capô, boca do bolso laterais e bolso canguru para um toque de estilo. Design: Laterais das barras com fendas de 12 cm, proporcionando um visual moderno e maior conforto. Bolsos Frontal Canguru: Ideal para guardar pequenos itens. Detalhe nas Barras Cavas: Barra cavas de 1,5 cm, garantindo um ajuste confortável. Composição: 84% Viscose e 16% Poliéster, um tecido leve e absorvente, perfeito para atividades aquáticas. Tabela de Medidas: Poncho Tamanho Unico Largura 65 Comprimento 93 *medidas da frente do produto * PERGUNTAS FREQUENTES: 1- Tem os produtos a pronta entrega? Em quanto tempo o produto será enviado? Resposta: Sim, temos todas as peças a pronta entrega para envio imediato. Após pagamento aprovado, seu pedido será postado em até 24 horas úteis 2- São Fotos reais do produto? Resposta: Sim, as fotos sao reais, com um toque de IA para harmonizar com o ambiente. 3. O produto é original? Sim, todos os produtos são originais. 4. Caso o produto não supra minha necessidade posso devolver ou trocar? Sim, aqui tem o programa de satisfação garantida caso não goste pode realizar a devolução e refazer o pedido do produto correto, desde que ele não tenha indícios de uso e esteja na embalagem original 5. Acompanha nota fiscal? Sim, todos os nossos produtos são enviados com nota fiscal. 6. O produto tem garantia? Sim, todos os produtos têm garantia de 7 dias pelo fabricante contra defeito de fabricação. Aposte na combinação de conforto, praticidade e estilo com o nosso Poncho Resort Atoalhado e esteja sempre preparado para o próximo mergulho ou treino. Não perca a oportunidade de ter um produto que vai facilitar a sua rotina aquática e ainda adicionar um toque de cor e modernidade ao seu look! Adquira o seu agora e tenha praticidade e estilo nas suas aventuras aquáticas!",3094,sim,2,116
MAIO GAROA,100890695,299.00,54,0.18,6112.41.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/45e381425d83b4d98692250df638573b.png,https://upload.cdn.baselinker.com/products/8042077/598b550d7a7a635f21adbca7a9a4fd90.jpg,"O Maiô Feminino Garoa foi desenvolvido para mulheres que buscam desempenho, proteção e conforto durante a prática de esportes aquáticos e atividades ao ar livre. Com modelagem anatômica e ajuste confortável ao corpo, oferece liberdade de movimento para surfar, nadar, remar ou aproveitar momentos de lazer com segurança e estilo. Seu design conta com mangas longas, gola alta e fechamento frontal por zíper YKK, proporcionando praticidade no vestir e maior proteção contra exposição solar. Produzido em tecido premium de alta qualidade, possui proteção UV50+, secagem rápida e resistência ao cloro e à água salgada, garantindo durabilidade e excelente desempenho tanto no mar quanto na piscina. Fabricado no Brasil com acabamento de alto padrão, o Maiô Garoa combina tecnologia, funcionalidade e conforto para acompanhar você em todos os momentos. Modelo: Garoa Categoria: Maiô Feminino Manga Longa Modelagem: Anatômica e ajustada ao corpo Gola: Alta anatômica Mangas: Longas Fechamento: Zíper frontal YKK® Cava traseira: Intermediária Bojo: Não possui Abertura para dedo: Sim Proteção solar: UV50+ Tecnologias: Tecido Principal: Forro Interno: Origem: Fabricado no Brasil Garantia: 30 dias contra defeitos de fabricação. Produto deve estar sem uso e sem lavagem. Ideal para: ✔ Surf ✔ Bodyboard ✔ Stand Up Paddle ✔ Natação ✔ Hidroginástica ✔ Beach Tennis ✔ Passeios de barco ✔ Piscina ✔ Praia ✔ Viagens ✔ Atividades ao ar livre ✔ Proteção solar durante longos períodos de exposição ao sol ✓ Proteção UV50+ ✓ Tecido premium de alta gramatura ✓ Zíper frontal YKK® ✓ Totalmente forrado na frente e costas ✓ Abertura para dedo nas mangas ✓ Excelente conforto e mobilidade ✓ Resistente ao cloro e à água salgada ✓ Secagem rápida ✓ Desenvolvido para surf e esportes aquáticos ✓ Produção nacional ✓ Acabamento de alta qualidade Tamanho Busto Cintura Quadril Comprimento Manga Comprimento Corpo P 36 30 33 72 68,5 M 38 32 35 73 70 G 40 34 37 74 71,5 GG 42 36 39 75 73 Importante: As medidas foram realizadas na peça sem esticar. Por se tratar de um tecido com elastano, podem ocorrer pequenas variações durante o uso.",2109,nao,1,118
MAIO LYCRA JOHN,102839729,399.99,20,0.7,6112.41.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/f3467f6c8e24ead5ab7be47c7ea73f20.jpg,https://upload.cdn.baselinker.com/products/8042077/82eaaf4de80ee5683a2d51da61df5dd1.jpg,"# Maiô John Feminino Use Zero Hora UV50+ Desenvolvido para surf, stand up paddle, canoa havaiana, mergulho leve e esportes aquáticos, o **Maiô John Feminino Use Zero Hora** combina proteção solar, alta performance e modelagem anatômica em uma peça única, criada para acompanhar seus movimentos dentro e fora da água. Sua construção ergonômica proporciona ajuste perfeito ao corpo, oferecendo conforto, segurança e liberdade de movimento durante remadas, manobras e longas sessões no mar. Os recortes laterais exclusivos com monograma Use Zero Hora valorizam a silhueta feminina, enquanto o zíper frontal YKK garante praticidade no vestir e excelente acabamento premium. --- ## Principais Benefícios ✔ Proteção solar permanente UV50+ ✔ Tecnologia Blackout de alta cobertura ✔ Não fica transparente quando molhado ✔ Compressão esportiva confortável ✔ Secagem rápida ✔ Excelente elasticidade e recuperação ✔ Alta resistência ao cloro e à água salgada ✔ Modelagem anatômica que valoriza o corpo feminino ✔ Costuras reforçadas para maior durabilidade ✔ Conforto térmico para esportes aquáticos --- ## Características Técnicas * Modelagem: John Feminino de corpo inteiro * Manga: Longa * Gola: Alta anatômica * Fechamento: Zíper frontal YKK tratorado fino de 42 cm * Punhos: Com abertura funcional para o polegar * Recortes: Anatômicos frontais, traseiros e laterais * Costuras: Flatlock e galoneira de acabamento premium * Painéis laterais: Monograma exclusivo Use Zero Hora * Comprimento: Corpo inteiro até os tornozelos * Proteção Solar: UV50+ permanente --- ## Tecido Premium Blackout Produzido em tecido tecnológico de alta performance: **Composição** * 83% Poliamida * 17% Elastano **Gramatura** * 300 g/m² **Tecnologia** * Blackout * Alta cobertura * Elasticidade multidirecional * Secagem rápida * Toque macio e sofisticado * Excelente memória elástica * Resistência ao desgaste causado por cloro e água salgada --- ## Indicado Para * Surf * Stand Up Paddle (SUP) * Canoa Havaiana * Wakeboard * Kitesurf * Windsurf * Jet Ski * Natação em águas abertas * Praia * Piscina * Treinos ao ar livre --- ## Design Exclusivo Use Zero Hora Inspirado no universo do surf performance, o Maiô John Feminino Use Zero Hora foi desenvolvido para mulheres que buscam máxima proteção, conforto e estilo em qualquer condição de uso. Seu visual minimalista e sofisticado combina tecnologia esportiva de alto nível com acabamento premium, criando uma peça versátil para performance e lifestyle. **Use Zero Hora — Performance, proteção e liberdade dentro d'água.**",2544,nao,1,76
CAMISETA PIPELINE,102354113,299.99,192,0.24,6112.31.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/f07fa4519895fc59550b399386c72ffc.png,https://upload.cdn.baselinker.com/products/8042077/52d53ebcc8acae386713f851db1665b6.png,"## Camiseta Lycra Masculina Manga Longa Pipeline UV50+ – Use Zero Hora Desenvolvida para quem busca máxima proteção, desempenho e conforto dentro e fora d'água, a **Camiseta Lycra Masculina Pipeline UV50+** foi criada para acompanhar surfistas, atletas e aventureiros em qualquer condição. Com modelagem ergonômica de alta performance, a peça oferece ajuste ao corpo sem restringir os movimentos, proporcionando liberdade total durante a remada, manobras e atividades esportivas. Seu tecido tecnológico de poliamida com elastano garante toque macio, secagem rápida e excelente respirabilidade, mantendo o conforto mesmo após horas de uso. Inspirada na lendária onda de Pipeline, no Havaí, esta lycra combina visual moderno, construção técnica e proteção solar avançada para enfrentar os dias mais intensos no mar. ### Destaques do Produto ✔ Proteção solar UV50+ permanente ✔ Bloqueia até 98% dos raios UV nocivos ✔ Modelagem anatômica masculina de alta performance ✔ Manga longa para proteção ampliada dos braços ✔ Tecido leve, respirável e de secagem rápida ✔ Compressão leve para maior conforto e ajuste ao corpo ✔ Costuras anatômicas posicionadas para reduzir atrito ✔ Alta elasticidade e liberdade de movimentos ✔ Excelente cobertura mesmo molhada ✔ Não amassa e mantém o caimento por mais tempo ✔ Ideal para surf, natação, SUP, canoa havaiana, pesca esportiva e esportes outdoor ### Diferenciais da Linha Pipeline * Gola anatômica confortável para uso prolongado * Costuras reforçadas para maior resistência ao uso frequente * Caimento esportivo desenvolvido para performance no surf * Logo Use Zero Hora aplicado de forma minimalista * Proteção contra vento, sol e contato direto com a prancha ### Composição **88% Poliamida | 12% Elastano** ### Indicação de Uso Perfeita para surf, bodyboard, stand up paddle, kitesurf, windsurf, jet ski, pesca, mergulho recreativo, corrida, trilhas e qualquer atividade sob exposição solar prolongada. ### Porque escolher a Pipeline? A Pipeline UV50+ reúne tudo o que uma lycra técnica precisa oferecer: proteção solar, mobilidade, resistência e conforto. Uma peça desenvolvida para quem leva o esporte e o estilo de vida outdoor a sério. **Use Zero Hora. Performance para o mar. Proteção para qualquer aventura.**",2256,nao,1,33
MAIO BELLS LISO MANGA LONGA E ZIPER,101409761,299.00,39,0.3,6112.41.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/531ed0bd1b5087e5a4f8c2f8a4f4c7eb.png,https://upload.cdn.baselinker.com/products/8042077/db555814f8757c7539503f58785db176.png,"O Maiô Body Feminino Manga Longa com Zíper da USEZEROHORA foi desenvolvido para quem busca desempenho, conforto e segurança em atividades aquáticas. Com modelagem ajustada ao corpo, proporciona excelente vestibilidade e liberdade de movimento, sendo ideal para surf, bodyboard, natação, hidroginástica, stand up paddle e outras práticas com exposição ao sol. Confeccionado em tecido tecnológico com composição de 83% poliamida e 17% elastano, oferece toque agradável, elasticidade, respirabilidade e secagem rápida. Sua proteção solar UV50+ ajuda a bloquear até 98% dos raios UVA e UVB, contribuindo para maior proteção durante o uso. O modelo conta com mangas longas com dedal embutido, punhos duplos reforçados e zíper frontal, garantindo praticidade ao vestir e mais firmeza na utilização. Na cor lisa preta, o maiô apresenta visual moderno e versátil, com acabamento pensado para unir funcionalidade e estilo. Possui forro interno em tecido blackout grosso, oferecendo maior segurança e zero transparência. É uma peça resistente, confortável e indicada para quem procura um traje de banho com alto padrão técnico para treinos, lazer ou esportes na água. Produto: Maiô Body Feminino Manga Longa com Zíper Modelo: Maio Protecao Praia Piscina Tipo de traje de banho: Maio Body Surf Gênero: Feminino Marca: USEZEROHORA Composição do tecido: 83% Poliamida e 17% Elastano Proteção solar: UV50+ permanente no tecido Tamanhos disponíveis: P, M, G e GG NCM: 6112.41.00 A embalagem contém 1 maiô body feminino com proteção UV50+.",1523,nao,1,88
CAMISETA LYCRA FEMININA ITAMAMBUCA,103123991,299.00,140,0.22,6106.20.00,https://upload.cdn.baselinker.com/product_extra_fields/8042077/277d84f95e85fc013a4c54cfc6fb73eb.png,https://acdn-us.mitiendanube.com/stores/005/540/626/products/chatgpt-image-15-de-jul-de-2026-07_53_31-1f8e7c36540dd6c8fb17842419969196-1024-1024.png,"Lycra Feminina Itamambuca UV50+ – Use Zero HoraInspirada na energia das praias de Ubatuba e desenvolvida para mulheres que vivem o mar, a Lycra Feminina Itamambuca UV50+ combina proteção, conforto e performance em uma peça versátil para surf, beach tennis, stand up paddle, corrida, caminhadas e atividades ao ar livre.Sua modelagem anatômica proporciona ajuste perfeito ao corpo sem limitar os movimentos, enquanto o tecido tecnológico de alta elasticidade acompanha cada remada, mergulho ou treino com máximo conforto.O design exclusivo conta com recortes ergonômicos e costuras anatômicas em contraste, valorizando a silhueta feminina e garantindo excelente caimento. O punho com abertura para o polegar oferece maior proteção para as mãos e evita que a manga deslize durante a prática esportiva.Destaques do Produto✔ Proteção UV50+ permanente✔ Bloqueia até 98% dos raios solares nocivos✔ Modelagem feminina anatômica e ajustada ao corpo✔ Manga longa com abertura para o polegar✔ Tecido leve, respirável e de secagem rápida✔ Alta elasticidade para total liberdade de movimentos✔ Costuras reforçadas para maior durabilidade✔ Toque macio e confortável na pele✔ Excelente cobertura mesmo quando molhada✔ Não amassa e não deforma facilmente✔ Ideal para surf, praia, esportes aquáticos e atividades outdoorComposição88% Poliamida | 12% ElastanoIndicação de UsoPerfeita para surf, natação, stand up paddle, beach tennis, corrida, trilhas, caminhadas, pesca esportiva e qualquer atividade sob exposição solar prolongada.Diferenciais Use Zero HoraA coleção Itamambuca foi criada para unir desempenho técnico e estilo minimalista. Uma peça pensada para quem busca proteção solar de alta qualidade sem abrir mão do conforto, da mobilidade e da durabilidade.Use Zero Hora. Feita para durar. Feita para acompanhar você dentro e fora d'água.",1831,nao,0,17
