keyword,cluster,volume,kd,cpc,intent,paa,aio,fs,sessoes,score,variante_de,norm
biquini fio dental,Biquini e top,6600.0,14.0,0.14,"Informational, Transactional",True,False,False,323.4,291.1,,biquini fio dental
biquini cortininha,Biquini e top,6600.0,19.0,0.2,Commercial,True,False,False,191.4,153.1,,biquini cortininha
biquini infantil,Biquini e top,6600.0,15.0,0.13,Commercial,False,False,False,191.4,153.1,,biquini infantil
biquini preto,Biquini e top,5400.0,20.0,0.23,Commercial,False,False,False,156.6,125.3,,biquini preto
biquini asa delta,Biquini e top,2900.0,14.0,0.24,"Informational, Commercial",True,False,False,142.1,71.0,,biquini asa delta
sunkini,Biquini e top,1600.0,13.0,0.11,"Informational, Commercial",False,False,False,78.4,39.2,,sunkini
biquini hot pants,Biquini e top,1300.0,15.0,0.16,Commercial,True,False,False,37.7,30.2,,biquini hot pants
biquini tomara que caia,Biquini e top,2400.0,9.0,0.16,Informational,False,False,False,117.6,29.4,,biquini tomara que caia
biquini juvenil,Biquini e top,1600.0,16.0,0.12,"Informational, Commercial",False,False,False,46.4,23.2,,biquini juvenil
biquini com bojo,Biquini e top,880.0,12.0,0.12,"Informational, Commercial",True,False,False,43.1,21.6,,biquini com bojo
sunkini feminino,Biquini e top,720.0,21.0,0.12,Commercial,True,False,False,20.9,16.7,,sunkini feminino
biquini de crochê,Biquini e top,1900.0,32.0,0.12,Commercial,True,False,False,19.0,15.2,,biquini de croche
biquini sem bojo,Biquini e top,390.0,9.0,0.09,"Informational, Commercial",True,False,False,19.1,9.6,,biquini sem bojo
subikini,Biquini e top,210.0,7.0,0.29,Commercial,True,False,False,10.3,8.2,,subikini
biquini estampado,Biquini e top,320.0,12.0,0.17,"Informational, Commercial",True,False,False,15.7,7.8,,biquini estampado
conjunto de biquini,Biquini e top,320.0,21.0,0.11,Commercial,True,False,False,9.3,7.4,,conjunto de biquini
biquini esportivo,Biquini e top,110.0,7.0,0.17,Commercial,False,False,False,5.4,4.3,,biquini esportivo
biquini de surf,Biquini e top,90.0,7.0,0.22,Commercial,False,False,False,4.4,3.5,,biquini de surf
biquini sunkini,Biquini e top,90.0,13.0,0.11,Commercial,False,False,False,4.4,3.5,,biquini sunkini
biquini surf feminino,Biquini e top,90.0,8.0,0.16,Commercial,False,False,False,4.4,3.5,,biquini surf feminino
calcinha de biquini alta,Biquini e top,90.0,7.0,0.12,Commercial,False,False,False,4.4,3.5,,calcinha de biquini alta
biquini de amarrar,Biquini e top,260.0,9.0,0.11,Informational,True,False,False,12.7,3.2,,biquini de amarrar
biquini uv,Biquini e top,110.0,7.0,0.17,"Informational, Commercial",False,False,False,5.4,2.7,,biquini uv
biquini com proteção uv,Biquini e top,70.0,0.0,0.13,,False,False,False,3.4,1.4,,biquini com protecao uv
biquini de lycra,Biquini e top,70.0,0.0,0.09,,False,False,False,3.4,1.4,,biquini de lycra
calcinha de biquini asa delta,Biquini e top,70.0,0.0,0.13,,False,False,False,3.4,1.4,,calcinha de biquini asa delta
biquini esportivo feminino,Biquini e top,50.0,0.0,0.15,,False,False,False,2.5,1.0,,biquini esportivo feminino
biquini fitness,Biquini e top,40.0,0.0,0.14,,False,False,False,2.0,0.8,,biquini fitness
biquíni esportivo,Biquini e top,40.0,0.0,0.18,,False,False,False,2.0,0.8,biquini esportivo,biquini esportivo
top cropped praia,Biquini e top,30.0,0.0,0.25,,False,False,False,1.5,0.6,,top cropped praia
comprar biquini online,Biquini e top,20.0,0.0,0.38,,False,False,False,1.0,0.4,,comprar biquini online
sunkini biquini,Biquini e top,20.0,0.0,0.1,,False,False,False,1.0,0.4,,sunkini biquini
top de surf,Biquini e top,20.0,0.0,0.0,,False,False,False,1.0,0.4,,top de surf
top de neoprene,Biquini e top,20.0,0.0,0.0,,False,False,False,1.0,0.4,,top de neoprene
top neoprene,Biquini e top,20.0,0.0,0.12,,False,False,False,1.0,0.4,,top neoprene
biquini frente única,Biquini e top,10.0,0.0,0.25,,False,False,False,0.5,0.2,,biquini frente unica
biquini para esportes aquáticos,Biquini e top,,,,,False,False,False,,,,biquini para esportes aquaticos
