id,territorio,data_producao,data_publicacao,kw_primaria,volume,kd,intencao,slug,url_final,status,aprovado_em
T1-01,T1,2026-08-12,2026-08-19,blusa com proteção uv,1300,18,Informacional,blusa-com-protecao-uv,,em_revisao,
T2-01,T2,2026-08-12,2026-08-19,saida de praia,60500,26,"Informacional, Comercial",saida-de-praia,,rascunho,
T3-01,T3,2026-08-12,2026-08-19,biquini fio dental,6600,14,"Informacional, Transacional",biquini-fio-dental,,rascunho,
T1-02,T1,2026-08-13,2026-08-20,surf lycra,880,8,"Informacional, Comercial",surf-lycra,,bloqueado,
T2-02,T2,2026-08-13,2026-08-20,saída de praia de crochê,6600,33,"Informacional, Transacional",saida-de-praia-de-croche,,rascunho,
T3-02,T3,2026-08-13,2026-08-20,biquini cortininha,6600,19,Comercial,biquini-cortininha,,rascunho,
T1-03,T1,2026-08-14,2026-08-21,camisa de praia feminina,880,19,Comercial,camisa-de-praia-feminina,,em_revisao,
T2-03,T2,2026-08-14,2026-08-21,vestido de praia,2900,14,"Informacional, Comercial",vestido-de-praia,,rascunho,
T3-03,T3,2026-08-14,2026-08-21,biquini infantil,6600,15,Comercial,biquini-infantil,,rascunho,
T1-04,T1,2026-08-17,2026-08-24,camiseta com proteção uv,880,13,Informacional,camiseta-com-protecao-uv,,em_revisao,
T2-04,T2,2026-08-17,2026-08-24,saia de praia,2900,19,Informacional,saia-de-praia,,rascunho,
T3-04,T3,2026-08-17,2026-08-24,biquini preto,5400,20,Comercial,biquini-preto,,rascunho,
T1-05,T1,2026-08-18,2026-08-25,rash guard infantil,480,5,"Informacional, Comercial",rash-guard-infantil,,em_revisao,
T2-05,T2,2026-08-18,2026-08-25,saída de praia longa,2400,9,Comercial,saida-de-praia-longa,,rascunho,
T3-05,T3,2026-08-18,2026-08-25,biquini asa delta,2900,14,"Informacional, Comercial",biquini-asa-delta,,rascunho,
