slug,papel,hub,tipo_kw,keyword,vol,kd,intent,fonte,url_cta,territorio
maio-de-praia,comercial,Comercial,primaria,maio de praia,18100.0,27.0,Commercial,matriz,/feminino/maio/,maio
maio-de-praia,comercial,Comercial,secundaria,maio feminino,12100.0,25.0,Commercial,matriz,/feminino/maio/,maio
maio-de-praia,comercial,Comercial,secundaria,maio cavado,2900.0,27.0,Commercial,matriz,/feminino/maio/,maio
maio-de-praia,comercial,Comercial,secundaria,maio com bojo,2400.0,21.0,Informational,matriz,/feminino/maio/,maio
maio-de-praia,comercial,Comercial,secundaria,maio para surfar,210.0,24.0,Commercial,matriz,/feminino/maio/,maio
saida-de-praia-guia,comercial,Comercial,primaria,saida de praia,60500.0,26.0,"Informational, Commercial",matriz,/feminino/saida-de-praia/,saida
saida-de-praia-guia,comercial,Comercial,secundaria,saída de praia longa,2400.0,9.0,Commercial,matriz,/feminino/saida-de-praia/,saida
saida-de-praia-guia,comercial,Comercial,secundaria,saída de praia feminina,1300.0,16.0,"Informational, Transactional",matriz,/feminino/saida-de-praia/,saida
saida-de-praia-guia,comercial,Comercial,secundaria,saída de praia curta,590.0,13.0,Informational,matriz,/feminino/saida-de-praia/,saida
saida-de-praia-guia,comercial,Comercial,secundaria,saída de praia plus size,1300.0,20.0,Informational,matriz,/feminino/saida-de-praia/,saida
saida-de-praia-guia,comercial,Comercial,secundaria,saída de praia branca,720.0,11.0,Commercial,matriz,/feminino/saida-de-praia/,saida
vestido-de-praia,comercial,Comercial,primaria,vestido de praia,2900.0,14.0,"Informational, Commercial",matriz,/feminino/saida-de-praia/vestido-manga-longa/,saida
vestido-de-praia,comercial,Comercial,secundaria,saia de praia,2900.0,19.0,Informational,matriz,/feminino/saida-de-praia/vestido-manga-longa/,saida
vestido-de-praia,comercial,Comercial,secundaria,saia de praia longa,1900.0,14.0,Informational,matriz,/feminino/saida-de-praia/vestido-manga-longa/,saida
vestido-de-praia,comercial,Comercial,secundaria,conjunto de praia feminino,880.0,29.0,"Informational, Commercial",matriz,/feminino/saida-de-praia/vestido-manga-longa/,saida
biquini-cortininha,comercial,Comercial,primaria,biquini cortininha,6600.0,19.0,Commercial,matriz,/feminino/biquini/,biquini
biquini-cortininha,comercial,Comercial,secundaria,biquini preto,5400.0,20.0,Commercial,matriz,/feminino/biquini/,biquini
biquini-cortininha,comercial,Comercial,secundaria,biquini tomara que caia,2400.0,9.0,Informational,matriz,/feminino/biquini/,biquini
biquini-cortininha,comercial,Comercial,secundaria,biquini com bojo,880.0,12.0,"Informational, Commercial",matriz,/feminino/biquini/,biquini
biquini-cortininha,comercial,Comercial,secundaria,biquini hot pants,1300.0,15.0,Commercial,matriz,/feminino/biquini/,biquini
sunga-masculina,comercial,Comercial,primaria,sunga masculina,22200.0,22.0,Commercial,matriz,/masculino/sunga/,sunga
sunga-masculina,comercial,Comercial,secundaria,sunga,18100.0,27.0,Informational,matriz,/masculino/sunga/,sunga
sunga-masculina,comercial,Comercial,secundaria,sunga boxer,2900.0,14.0,Commercial,matriz,/masculino/sunga/,sunga
sunga-masculina,comercial,Comercial,secundaria,sunga de praia,2400.0,18.0,Commercial,matriz,/masculino/sunga/,sunga
short-de-praia-masculino,comercial,Comercial,primaria,short de praia masculino,2400.0,16.0,Commercial,matriz,/masculino/bermuda/,sunga
short-de-praia-masculino,comercial,Comercial,secundaria,short de praia,2900.0,18.0,Commercial,matriz,/masculino/bermuda/,sunga
short-de-praia-masculino,comercial,Comercial,secundaria,bermuda surf,2400.0,12.0,Commercial,matriz,/masculino/bermuda/,sunga
short-de-praia-masculino,comercial,Comercial,secundaria,boardshort,2400.0,11.0,Commercial,matriz,/masculino/bermuda/,sunga
short-de-praia-masculino,comercial,Comercial,secundaria,short de banho masculino,1600.0,16.0,"Informational, Commercial",matriz,/masculino/bermuda/,sunga
poncho-de-surf,comercial,Comercial,primaria,poncho surf,590.0,8.0,"Informational, Commercial",matriz,/masculino/poncho/,poncho
poncho-de-surf,comercial,Comercial,secundaria,poncho de surf,170.0,7.0,"Informational, Commercial",matriz,/masculino/poncho/,poncho
poncho-de-surf,comercial,Comercial,secundaria,poncho surf masculino,110.0,7.0,Commercial,matriz,/masculino/poncho/,poncho
poncho-de-surf,comercial,Comercial,secundaria,roupao de surf,90.0,8.0,Commercial,matriz,/masculino/poncho/,poncho
poncho-de-surf,comercial,Comercial,secundaria,poncho atoalhado,170.0,11.0,Commercial,matriz,/masculino/poncho/,poncho
poncho-toalha-infantil,comercial,Comercial,primaria,poncho toalha infantil,590.0,9.0,Commercial,matriz,/infantil1/poncho2/,poncho
