slug,formato,hub,tipo_kw,keyword,vol,kd,intent,fonte,url_destino
poncho-surf-feminino,GUI,Poncho,primaria,poncho surf feminino,90,4,Informacional + Comercial,Semrush BR 2026-08-10 via data/2026-08-10-matriz-kws-classificada.csv,/feminino/poncho1/
poncho-surf-feminino,GUI,Poncho,secundaria,poncho surf feminino tamanho,dado-indisponivel,0,Informacional sizing,PAA qualitativo,/feminino/poncho1/
como-usar-poncho-surf,HOW-TO,Poncho,primaria,como usar poncho de surf,dado-indisponivel,0,Informacional HOW-TO,PAA qualitativo 2026-08-10,/masculino/poncho/
poncho-surf-tamanho,GUI,Poncho,primaria,poncho surf tamanho,dado-indisponivel,0,Informacional sizing,PAA qualitativo 2026-08-10,/masculino/poncho/
poncho-surf-vale-a-pena,COMPARATIVO,Poncho,primaria,poncho de surf vale a pena,dado-indisponivel,0,Informacional decisao,PAA qualitativo 2026-08-10,/masculino/poncho/
poncho-natacao,GUI,Poncho,primaria,poncho natacao,110,16,Informacional + Comercial,Semrush BR 2026-08-10 via data/2026-08-10-matriz-kws-classificada.csv,/masculino/poncho/
roupao-de-praia,GUI,Poncho,primaria,roupao de praia,110,19,Informacional + Comercial,Semrush BR 2026-08-10 via data/2026-08-10-matriz-kws-classificada.csv,/masculino/poncho/
poncho-surf-menino,GUI,Poncho,primaria,poncho surf menino,dado-indisponivel,0,Informacional comercial infantil,PAA qualitativo 2026-08-10,/infantil1/poncho2/
como-cuidar-poncho-surf,HOW-TO,Poncho,primaria,como lavar poncho de surf,dado-indisponivel,0,Informacional cuidado,PAA qualitativo 2026-08-10,/masculino/poncho/
poncho-de-praia,GUI,Poncho,primaria,poncho de praia,50,0,Informacional + Comercial,Semrush BR 2026-08-10 via data/2026-08-10-matriz-kws-classificada.csv,/masculino/poncho/
poncho-infantil-por-faixa,GUI,Poncho,primaria,poncho surf crianca,dado-indisponivel,0,Informacional sizing infantil,PAA qualitativo 2026-08-10,/infantil1/poncho2/
